plot_id,longitude,latitude,basal_area,density,mean_dbh,max_dbh,cv_dbh,plot_area,elevation,mean_dbh_large,total_richness,total_simpson,AM,EM,cmi_mean,bio11_tmin,soil_ph_0_200,soil_n_0_200
912,121.106308542777,23.8985673022762,21.4781562964668,559.947299077733,19.9117647058824,42.9,48.8697249617274,0.06072,2255,33.4666666666667,7,1.52238355115283,0.990957496903004,0.00904250309699572,209.2,8.85000000000002,5.1,4.28525
913,121.135931114611,23.8986389586635,24.5272946221278,576.662143826323,18.3735294117647,68.3,78.8979512600334,0.05896,2152,43.1833333333333,5,1.32601432169033,0.939155959205806,0.0608440407941934,248.9,6.45000000000005,4.84,3.614
914,121.165396764642,23.898672600883,47.5827060957997,2687.34643734643,13.648,42.1,45.9914492802814,0.06512,2622,32.2285714285714,4,2.39646308149333,0.402411236552286,0.524216089851095,246.7,4.55000000000001,5.015,3.51975
915,121.224383559378,23.8984367645177,58.7230493856518,798.114928549712,28.0428571428571,72,44.264102306779,0.052624,1894,51.7,5,1.45117729194376,0.0702841679931759,0.929715832006824,178.6,10.45,5.2325,2.2005
916,121.017951188008,23.8715483434934,39.3538897443203,1957.0707070707,14.975,30.9,37.7977357789398,0.06336,1490,28.7666666666667,8,1.2549823490418,1,0,237.2,12.15,5.0275,2.582
917,121.047385287991,23.8714820648506,14.2608818230877,358.032378580324,18.0826086956522,60.1,75.8977147828215,0.06424,714,37.35,10,5.48283199802877,0.908365170152154,0.0916348298478457,203.1,15.45,5.255,1.48675
918,121.076980661919,23.8715138963103,21.7690111272928,1026.62135372416,14.4465517241379,39,54.6609155013065,0.056496,1486,33.4166666666667,13,4.38612443819683,0.499659752233467,0.500340247766533,216.8,11.95,5.155,2.16725
919,121.106287450393,23.8713650357067,35.4391831018884,789.571463958385,19.6803921568627,68.5,69.6415813382135,0.064592,1759,50.0333333333333,17,4.40665849947249,0.35711536257913,0.604371201332033,224.4,10.65,5.2025,2.581
920,121.135901746255,23.8714068344573,22.5500520816019,831.071913161466,16.9244897959184,37,45.8701121576634,0.05896,2833,30.9833333333333,3,1.24637970239246,0.214831223374246,0.785168776625754,236.5,3.15000000000003,4.95,4.507
921,121.165271345752,23.8717594079618,46.8949392975661,299.873737373737,37.0947368421053,93.3,68.6912887751402,0.06336,2839,67.8166666666667,2,1.01994800669966,0.0127620927181543,0.987237907281846,250.3,2.15000000000003,5.0275,3.813
922,121.194752149313,23.8713544294934,65.2018421349937,398.724082934609,34.955,109.2,86.0866480505817,0.05016,2655,79.46,6,1.80640502949941,0.129448463378114,0.86943045711652,245,3.85000000000002,4.8575,3.732
